y;x;intensity
1787;1266;0
1787;1267;0
1787;1268;0
1787;1269;0
1787;1270;0
1787;1271;0
1787;1272;0
1787;1273;0
1787;1274;0
1788;1180;0
1788;1181;0
1788;1182;0
1788;1183;0
1788;1184;0
1788;1185;0
1788;1186;0
1788;1187;0
1788;1188;0
1788;1189;0
1788;1190;0
1788;1191;0
1788;1192;0
1788;1193;0
1788;1194;0
1788;1195;0
1788;1196;0
1788;1197;0
1788;1198;0
1788;1199;0
1788;1200;0
1788;1201;0
1788;1202;0
1788;1203;0
1788;1204;0
1788;1205;0
1788;1206;0
1788;1207;0
1788;1208;0,000109358225
1788;1209;0,00023602578
1788;1210;0,0003515721
1788;1211;0,0004874466
1788;1212;0,0005987735
1788;1213;0,00073599414
1788;1214;0,000840517
1788;1215;0,0009461696
1788;1216;0,0010489454
1788;1217;0,001135598
1788;1218;0,0012214748
1788;1219;0,0013000979
1788;1220;0,001373212
1788;1221;0,0014713457
1788;1222;0,0015402887
1788;1223;0,001627299
1788;1224;0,0017232348
1788;1225;0,0017940066
1788;1226;0,0018465805
1788;1227;0,0019177897
1788;1228;0,0019379093
1788;1229;0,0019845467
1788;1230;0,002012593
1788;1231;0,0020281319
1788;1232;0,0020469585
1788;1233;0,002055651
1788;1234;0,0020706567
1788;1235;0,0020865896
1788;1236;0,0020977128
1788;1237;0,0020977797
1788;1238;0,0020829786
1788;1239;0,0020592709
1788;1240;0,002004057
1788;1241;0,0019847406
1788;1242;0,0019354642
1788;1243;0,0018707255
1788;1244;0,0018200639
1788;1245;0,0017721824
1788;1246;0,0017034708
1788;1247;0,0016244694
1788;1248;0,0015383429
1788;1249;0,0014247433
1788;1250;0,001327545
1788;1251;0,0011803651
1788;1252;0,0010407118
1788;1253;0,0008837805
1788;1254;0,00072017295
1788;1255;0,00055129407
1788;1256;0,0003572685
1788;1257;0,00017105776
1788;1258;0
1788;1259;0
1788;1260;0
1788;1261;0
1788;1262;0
1788;1263;0
1788;1264;0
1788;1265;0
1788;1266;0
1788;1267;0
1788;1268;0
1788;1269;0
1788;1270;0
1788;1271;0
1788;1272;0
1788;1273;0
1788;1274;0
1789;1180;0
1789;1181;0
1789;1182;0
1789;1183;0
1789;1184;0
1789;1185;0
1789;1186;0
1789;1187;0
1789;1188;0
1789;1189;0
1789;1190;0
1789;1191;0
1789;1192;0
1789;1193;0
1789;1194;0
1789;1195;0
1789;1196;0
1789;1197;0
1789;1198;0
1789;1199;0
1789;1200;0
1789;1201;0
1789;1202;0
1789;1203;0
1789;1204;0
1789;1205;0
1789;1206;0
1789;1207;5,6440906E-05
1789;1208;0,00016531543
1789;1209;0,0002940638
1789;1210;0,00043195143
1789;1211;0,00055840093
1789;1212;0,0006839612
1789;1213;0,0007873621
1789;1214;0,00090022624
1789;1215;0,0009948825
1789;1216;0,0010898609
1789;1217;0,0011818433
1789;1218;0,0012487673
1789;1219;0,0013313957
1789;1220;0,0014243613
1789;1221;0,0015063352
